"","x"
"1","the"
"2","to"
"3","and"
"4","a"
"5","i"
"6","of"
"7","in"
"8","you"
"9","is"
"10","for"
"11","that"
"12","it"
"13","on"
"14","my"
"15","with"
"16","this"
"17","was"
"18","be"
"19","have"
"20","at"
"21","are"
"22","but"
"23","me"
"24","so"
"25","we"
"26","as"
"27","not"
"28","all"
"29","your"
"30","just"
"31","from"
"32","out"
"33","up"
"34","like"
"35","what"
"36","or"
"37","he"
"38","if"
"39","they"
"40","one"
"41","will"
"42","about"
"43","do"
"44","i'm"
"45","can"
"46","when"
"47","by"
"48","an"
"49","get"
"50","time"
"51","it's"
"52","more"
"53","there"
"54","his"
"55","had"
"56","some"
"57","no"
"58","good"
"59","our"
"60","love"
"61","has"
"62","who"
"63","her"
"64","now"
"65","day"
"66","how"
"67","know"
"68","would"
"69","don't"
"70","new"
"71","been"
"72","she"
"73","their"
"74","them"
"75","see"
"76","go"
"77","people"
"78","back"
"79","were"
"80","great"
"81","think"
"82","make"
"83","us"
"84","too"
"85","then"
"86","thanks"
"87","going"
"88","really"
"89","much"
"90","only"
"91","today"
"92","well"
"93","am"
"94","which"
"95","into"
"96","got"
"97","over"
"98","first"
"99","rt"
"100","than"
"101","way"
"102","want"
"103","u"
"104","because"
"105","here"
"106","right"
"107","did"
"108","him"
"109","work"
"110","need"
"111","even"
"112","2"
"113","3"
"114","other"
"115","still"
"116","last"
"117","also"
"118","after"
"119","life"
"120","said"
"121","very"
"122","its"
"123","could"
"124","off"
"125","lol"
"126","any"
"127","year"
"128","where"
"129","can't"
"130","come"
"131","little"
"132","these"
"133","never"
"134","should"
"135","why"
"136","two"
"137","say"
"138","down"
"139","being"
"140","1"
"141","take"
"142","happy"
"143","many"
"144","things"
"145","most"
"146","those"
"147","that's"
"148","night"
"149","best"
"150","before"
"151","something"
"152","made"
"153","next"
"154","i've"
"155","always"
"156","week"
"157","home"
"158","you're"
"159","may"
"160","follow"
"161","while"
"162","better"
"163","look"
"164","hope"
"165","world"
"166","through"
"167","years"
"168","feel"
"169","again"
"170","around"
"171","every"
"172","long"
"173","sure"
"174","thank"
"175","show"
"176","man"
"177","didn't"
"178","another"
"179","thing"
"180","4"
"181","tonight"
"182","ever"
"183","few"
"184","find"
"185","oh"
"186","same"
"187","big"
"188","getting"
"189","i'll"
"190","let"
"191","old"
"192","use"
"193","school"
"194","5"
"195","does"
"196","book"
"197","looking"
"198","yes"
"199","keep"
"200","own"
"201","game"
"202","days"
"203","please"
"204","god"
"205","help"
"206","doing"
"207","give"
"208","everyone"
"209","morning"
"210","fun"
"211","such"
"212","since"
"213","put"
"214","thought"
"215","lot"
"216","though"
"217","away"
"218","place"
"219","tell"
"220","done"
"221","someone"
"222","until"
"223","friends"
"224","free"
"225","wait"
"226","house"
"227","each"
"228","start"
"229","nice"
"230","having"
"231","bad"
"232","read"
"233","end"
"234","might"
"235","both"
"236","part"
"237","family"
"238","pretty"
"239","live"
"240","used"
"241","tomorrow"
"242","twitter"
"243","im"
"244","10"
"245","hard"
"246","went"
"247","call"
"248","try"
"249","weekend"
"250","yet"
"251","actually"
"252","real"
"253","music"
"254","d"
"255","without"
"256","enough"
"257","doesn't"
"258","soon"
"259","making"
"260","hey"
"261","must"
"262","maybe"
"263","found"
"264","post"
"265","coming"
"266","working"
"267","play"
"268","makes"
"269","check"
"270","already"
"271","stop"
"272","everything"
"273","awesome"
"274","nothing"
"275","left"
"276","haha"
"277","story"
"278","trying"
"279","times"
"280","myself"
"281","once"
"282","three"
"283","we're"
"284","bit"
"285","anything"
"286","high"
"287","girl"
"288","food"
"289","yeah"
"290","came"
"291","person"
"292","amazing"
"293","anyone"
"294","different"
"295","guys"
"296","name"
"297","watching"
"298","6"
"299","he's"
"300","blog"
"301","w"
"302","set"
"303","ready"
"304","talk"
"305","point"
"306","money"
"307","i'd"
"308","head"
"309","miss"
"310","far"
"311","kids"
"312","believe"
"313","friend"
"314","together"
"315","between"
"316","watch"
"317","wish"
"318","course"
"319","team"
"320","called"
"321","city"
"322","job"
"323","cool"
"324","there's"
"325","hear"
"326","saw"
"327","told"
"328","least"
"329","beautiful"
"330","mind"
"331","top"
"332","run"
"333","remember"
"334","room"
"335","took"
"336","started"
"337","gonna"
"338","change"
"339","true"
"340","kind"
"341","mean"
"342","hate"
"343","wanted"
"344","s"
"345","says"
"346","during"
"347","full"
"348","ðÿ"
"349","party"
"350","7"
"351","open"
"352","heart"
"353","probably"
"354","birthday"
"355","almost"
"356","favorite"
"357","idea"
"358","white"
"359","state"
"360","finally"
"361","friday"
"362","whole"
"363","what's"
"364","isn't"
"365","small"
"366","else"
"367","able"
"368","com"
"369","looks"
"370","excited"
"371","black"
"372","8"
"373","following"
"374","win"
"375","seen"
"376","thinking"
"377","class"
"378","word"
"379","30"
"380","face"
"381","hours"
"382","movie"
"383","tweet"
"384","baby"
"385","under"
"386","forward"
"387","second"
"388","less"
"389","later"
"390","minutes"
"391","early"
"392","water"
"393","side"
"394","care"
"395","ago"
"396","fact"
"397","o"
"398","p"
"399","past"
"400","shit"
"401","using"
"402","reading"
"403","sometimes"
"404","stay"
"405","news"
"406","half"
"407","business"
"408","ok"
"409","children"
"410","stuff"
"411","guy"
"412","mom"
"413","against"
"414","sorry"
"415","song"
"416","words"
"417","season"
"418","writing"
"419","quite"
"420","ask"
"421","others"
"422","sleep"
"423","enjoy"
"424","support"
"425","hit"
"426","taking"
"427","summer"
"428","comes"
"429","wasn't"
"430","let's"
"431","guess"
"432","books"
"433","feeling"
"434","add"
"435","car"
"436","weeks"
"437","playing"
"438","line"
"439","heard"
"440","phone"
"441","hot"
"442","month"
"443","often"
"444","however"
"445","talking"
"446","leave"
"447","won't"
"448","hand"
"449","women"
"450","beer"
"451","9"
"452","seems"
"453","glad"
"454","wrong"
"455","means"
"456","needs"
"457","along"
"458","bring"
"459","b"
"460","perfect"
"461","couple"
"462","eat"
"463","become"
"464","they're"
"465","12"
"466","welcome"
"467","lost"
"468","young"
"469","red"
"470","buy"
"471","either"
"472","haven't"
"473","sweet"
"474","moment"
"475","late"
"476","case"
"477","video"
"478","asked"
"479","instead"
"480","20"
"481","share"
"482","number"
"483","light"
"484","m"
"485","meet"
"486","easy"
"487","rather"
"488","write"
"489","reason"
"490","crazy"
"491","knew"
"492","months"
"493","saying"
"494","wow"
"495","list"
"496","power"
"497","important"
"498","problem"
"499","group"
"500","special"
"501","yourself"
"502","gets"
"503","hour"
"504","turn"
"505","goes"
"506","question"
"507","bed"
"508","girls"
"509","public"
"510","close"
"511","men"
"512","ya"
"513","social"
"514","11"
"515","move"
"516","experience"
"517","rest"
"518","cut"
"519","wanna"
"520","order"
"521","n"
"522","hair"
"523","body"
"524","film"
"525","funny"
"526","outside"
"527","sounds"
"528","living"
"529","she's"
"530","ur"
"531","c"
"532","decided"
"533","sunday"
"534","2012"
"535","american"
"536","felt"
"537","four"
"538","art"
"539","wonderful"
"540","running"
"541","local"
"542","learn"
"543","saturday"
"544","future"
"545","loved"
"546","interesting"
"547","paper"
"548","behind"
"549","cause"
"550","plan"
"551","eyes"
"552","ass"
"553","matter"
"554","short"
"555","r"
"556","self"
"557","country"
"558","woman"
"559","fuck"
"560","boy"
"561","seeing"
"562","card"
"563","facebook"
"564","couldn't"
"565","email"
"566","e"
"567","damn"
"568","dont"
"569","christmas"
"570","break"
"571","15"
"572","yesterday"
"573","understand"
"574","walk"
"575","send"
"576","dinner"
"577","event"
"578","definitely"
"579","gone"
"580","media"
"581","project"
"582","office"
"583","especially"
"584","okay"
"585","mother"
"586","given"
"587","front"
"588","picture"
"589","hell"
"590","www"
"591","super"
"592","child"
"593","'"
"594","000"
"595","needed"
"596","we'll"
"597","series"
"598","fall"
"599","happen"
"600","gave"
"601","lots"
"602","tv"
"603","you'll"
"604","green"
"605","waiting"
"606","several"
"607","chance"
"608","visit"
"609","pay"
"610","monday"
"611","company"
"612","wants"
"613","store"
"614","students"
"615","meeting"
"616","town"
"617","tried"
"618","area"
"619","page"
"620","history"
"621","fan"
"622","starting"
"623","games"
"624","single"
"625","looked"
"626","sense"
"627","ones"
"628","john"
"629","omg"
"630","street"
"631","five"
"632","gotta"
"633","pick"
"634","deal"
"635","coffee"
"636","rock"
"637","forget"
"638","worth"
"639","t"
"640","online"
"641","huge"
"642","law"
"643","parents"
"644","service"
"645","lunch"
"646","trip"
"647","luck"
"648","across"
"649","mr"
"650","works"
"651","wonder"
"652","happened"
"653","hi"
"654","lives"
"655","although"
"656","taken"
"657","congrats"
"658","death"
"659","large"
"660","wouldn't"
"661","within"
"662","weather"
"663","spring"
"664","possible"
"665","giving"
"666","cold"
"667","takes"
"668","government"
"669","sad"
"670","son"
"671","seriously"
"672","ha"
"673","inside"
"674","including"
"675","national"
"676","park"
"677","human"
"678","followers"
"679","community"
"680","dog"
"681","jesus"
"682","college"
"683","based"
"684","sound"
"685","cute"
"686","seem"
"687","site"
"688","challenge"
"689","information"
"690","fans"
"691","totally"
"692","turned"
"693","you've"
"694","health"
"695","blue"
"696","church"
"697","st"
"698","busy"
"699","road"
"700","fine"
"701","space"
"702","100"
"703","available"
"704","whether"
"705","cannot"
"706","door"
"707","hands"
"708","join"
"709","la"
"710","system"
"711","piece"
"712","mine"
"713","known"
"714","drink"
"715","drive"
"716","finished"
"717","hold"
"718","above"
"719","voice"
"720","spent"
"721","million"
"722","dead"
"723","center"
"724","simply"
"725","listening"
"726","south"
"727","longer"
"728","shows"
"729","final"
"730","strong"
"731","age"
"732","air"
"733","create"
"734","usually"
"735","boys"
"736","whatever"
"737","stand"
"738","answer"
"739","cover"
"740","simple"
"741","alone"
"742","perhaps"
"743","50"
"744","text"
"745","process"
"746","april"
"747","band"
"748","level"
"749","police"
"750","pictures"
"751","tired"
"752","exactly"
"753","dream"
"754","design"
"755","knows"
"756","bar"
"757","questions"
"758","website"
"759","met"
"760","market"
"761","middle"
"762","act"
"763","dark"
"764","war"
"765","ways"
"766","we've"
"767","personal"
"768","agree"
"769","aren't"
"770","sun"
"771","listen"
"772","re"
"773","sent"
"774","ideas"
"775","fast"
"776","2011"
"777","eating"
"778","near"
"779","style"
"780","date"
"781","fire"
"782","sick"
"783","anyway"
"784","lord"
"785","completely"
"786","clear"
"787","step"
"788","dad"
"789","truth"
"790","moving"
"791","etc"
"792","building"
"793","due"
"794","spend"
"795","low"
"796","control"
"797","himself"
"798","rain"
"799","bought"
"800","wife"
"801","tweets"
"802","die"
"803","shot"
"804","stories"
"805","missed"
"806","dude"
"807","played"
"808","dance"
"809","sitting"
"810","non"
"811","york"
"812","president"
"813","heat"
"814","added"
"815","worked"
"816","themselves"
"817","x"
"818","success"
"819","issue"
"820","kid"
"821","photo"
"822","character"
"823","program"
"824","fucking"
"825","lovely"
"826","sign"
"827","save"
"828","color"
"829","wear"
"830","form"
"831","cant"
"832","chocolate"
"833","fight"
"834","0"
"835","choice"
"836","energy"
"837","learning"
"838","brother"
"839","entire"
"840","husband"
"841","wine"
"842","club"
"843","father"
"844","upon"
"845","beat"
"846","chicago"
"847","gift"
"848","eye"
"849","attention"
"850","march"
"851","link"
"852","type"
"853","thursday"
"854","note"
"855","lead"
"856","ã"
"857","sit"
"858","thoughts"
"859","feels"
"860","bitch"
"861","sister"
"862","america"
"863","25"
"864","recently"
"865","safe"
"866","record"
"867","album"
"868","interested"
"869","action"
"870","written"
"871","earth"
"872","according"
"873","hello"
"874","fresh"
"875","round"
"876","box"
"877","cup"
"878","members"
"879","major"
"880","star"
"881","here's"
"882","brought"
"883","photos"
"884","extra"
"885","mention"
"886","learned"
"887","won"
"888","table"
"889","north"
"890","truly"
"891","absolutely"
"892","lady"
"893","enjoyed"
"894","deep"
"895","speak"
"896","issues"
"897","dear"
"898","chicken"
"899","proud"
"900","minute"
"901","brown"
"902","cream"
"903","sex"
"904","article"
"905","third"
"906","pain"
"907","evening"
"908","continue"
"909","bro"
"910","cake"
"911","san"
"912","ice"
"913","example"
"914","stupid"
"915","finish"
"916","west"
"917","states"
"918","account"
"919","certain"
"920","itself"
"921","view"
"922","lose"
"923","followed"
"924","happens"
"925","problems"
"926","lmao"
"927","plus"
"928","race"
"929","complete"
"930","daughter"
"931","smile"
"932","message"
"933","afternoon"
"934","changed"
"935","six"
"936","hopefully"
"937","research"
"938","choose"
"939","walking"
"940","board"
"941","offer"
"942","trust"
"943","catch"
"944","present"
"945","figure"
"946","songs"
"947","co"
"948","internet"
"949","pass"
"950","price"
"951","forever"
"952","per"
"953","starts"
"954","quick"
"955","sort"
"956","till"
"957","relationship"
"958","general"
"959","mad"
"960","fear"
"961","bill"
"962","wearing"
"963","tuesday"
"964","details"
"965","clean"
"966","obama"
"967","test"
"968","weird"
"969","anymore"
"970","lucky"
"971","main"
"972","1st"
"973","plans"
"974","radio"
"975","cheese"
"976","oil"
"977","events"
"978","13"
"979","court"
"980","loves"
"981","realize"
"982","ah"
"983","ball"
"984","poor"
"985","goal"
"986","likely"
"987","shop"
"988","return"
"989","university"
"990","'s"
"991","daily"
"992","warm"
"993","political"
"994","gives"
"995","created"
"996","hurt"
"997","opening"
"998","training"
"999","appreciate"
"1000","tickets"
"1001","difficult"
"1002","feet"
"1003","among"
"1004","original"
"1005","who's"
"1006","taste"
"1007","serious"
"1008","focus"
"1009","born"
"1010","track"
"1011","mark"
"1012","field"
"1013","de"
"1014","touch"
"1015","watched"
"1016","peace"
"1017","telling"
"1018","worst"
"1019","14"
"1020","straight"
"1021","characters"
"1022","beginning"
"1023","wrote"
"1024","below"
"1025","thats"
"1026","mix"
"1027","places"
"1028","practice"
"1029","via"
"1030","ride"
"1031","opportunity"
"1032","became"
"1033","points"
"1034","tour"
"1035","library"
"1036","wall"
"1037","conference"
"1038","beach"
"1039","ground"
"1040","study"
"1041","version"
"1042","ill"
"1043","contact"
"1044","loving"
"1045","imagine"
"1046","dreams"
"1047","wednesday"
"1048","apparently"
"1049","fit"
"1050","moved"
"1051","16"
"1052","bowl"
"1053","hoping"
"1054","began"
"1055","18"
"1056","blood"
"1057","sat"
"1058","quickly"
"1059","meant"
"1060","current"
"1061","dr"
"1062","education"
"1063","sharing"
"1064","floor"
"1065","computer"
"1066","report"
"1067","certainly"
"1068","leaving"
"1069","stage"
"1070","info"
"1071","key"
"1072","2010"
"1073","image"
"1074","cost"
"1075","sugar"
"1076","cards"
"1077","further"
"1078","kept"
"1079","david"
"1080","j"
"1081","movies"
"1082","paul"
"1083","expect"
"1084","release"
"1085","begin"
"1086","holiday"
"1087","kill"
"1088","putting"
"1089","google"
"1090","dress"
"1091","size"
"1092","english"
"1093","except"
"1094","liked"
"1095","review"
"1096","reality"
"1097","hahaha"
"1098","bout"
"1099","40"
"1100","shopping"
"1101","vote"
"1102","earlier"
"1103","quality"
"1104","breakfast"
"1105","snow"
"1106","beyond"
"1107","missing"
"1108","jobs"
"1109","double"
"1110","fair"
"1111","seemed"
"1112","grow"
"1113","asking"
"1114","ahead"
"1115","yea"
"1116","recipe"
"1117","natural"
"1118","former"
"1119","recent"
"1120","held"
"1121","planning"
"1122","tea"
"1123","press"
"1124","winter"
"1125","24"
"1126","difference"
"1127","died"
"1128","î"
"1129","spot"
"1130","supposed"
"1131","interest"
"1132","land"
"1133","driving"
"1134","june"
"1135","wedding"
"1136","lets"
"1137","common"
"1138","sale"
"1139","received"
"1140","student"
"1141","decision"
"1142","scene"
"1143","term"
"1144","bag"
"1145","faith"
"1146","author"
"1147","despite"
"1148","sports"
"1149","worse"
"1150","interview"
"1151","soul"
"1152","amount"
"1153","king"
"1154","kitchen"
"1155","paid"
"1156","changes"
"1157","pieces"
"1158","ugh"
"1159","services"
"1160","society"
"1161","football"
"1162","austin"
"1163","growing"
"1164","folks"
"1165","onto"
"1166","include"
"1167","players"
"1168","unless"
"1169","comment"
"1170","involved"
"1171","nearly"
"1172","brain"
"1173","today's"
"1174","g"
"1175","weight"
"1176","everybody"
"1177","teacher"
"1178","james"
"1179","tree"
"1180","yo"
"1181","posted"
"1182","fat"
"1183","yay"
"1184","00"
"1185","novel"
"1186","slow"
"1187","east"
"1188","shall"
"1189","provide"
"1190","passed"
"1191","career"
"1192","garden"
"1193","nature"
"1194","vs"
"1195","spirit"
"1196","county"
"1197","shirt"
"1198","mostly"
"1199","holy"
"1200","consider"
"1201","creative"
"1202","worry"
"1203","situation"
"1204","miles"
"1205","filled"
"1206","train"
"1207","throw"
"1208","title"
"1209","result"
"1210","laugh"
"1211","positive"
"1212","healthy"
"1213","shoes"
"1214","bottom"
"1215","allow"
"1216","app"
"1217","indeed"
"1218","data"
"1219","christ"
"1220","similar"
"1221","realized"
"1222","content"
"1223","glass"
"1224","products"
"1225","f"
"1226","total"
"1227","ended"
"1228","drop"
"1229","k"
"1230","calling"
"1231","headed"
"1232","normal"
"1233","ran"
"1234","currently"
"1235","french"
"1236","ain't"
"1237","drinking"
"1238","keeping"
"1239","value"
"1240","whose"
