"","X","x"
"1",1,186
"2",2,1
"3",3,1
"4",4,58
"5",5,19
"6",6,1
"7",7,1
"8",8,21
"9",9,4
"10",10,1
"11",11,5
"12",12,17
"13",13,1
"14",14,119
"15",15,1
"16",16,9
"17",17,4
"18",18,4
"19",19,4
"20",20,1
"21",21,8
"22",22,5
"23",23,2
"24",24,5
"25",25,21
"26",26,4
"27",27,4
"28",28,1
"29",29,200
"30",30,4
"31",31,1
"32",32,6
"33",33,2
"34",34,4
"35",35,5
"36",36,4
"37",37,17
"38",38,8
"39",39,21
"40",40,6
"41",41,18
"42",42,1
"43",43,8
"44",44,27
"45",45,18
"46",46,5
"47",47,1
"48",48,503
"49",49,4
"50",50,2
"51",51,4
"52",52,100
"53",53,9
"54",54,200
"55",55,4
"56",56,6
"57",57,40
"58",58,209
"59",59,70
"60",60,8
"61",61,71
"62",62,21
"63",63,3
"64",64,5
"65",65,6
"66",66,2
"67",67,35
"68",68,18
"69",69,67
"70",70,811
"71",71,4
"72",72,17
"73",73,200
"74",74,2
"75",75,8
"76",76,2
"77",77,62
"78",78,2
"79",79,4
"80",80,65
"81",81,5
"82",82,4
"83",83,2
"84",84,89
"85",85,5
"86",86,10
"87",87,2
"88",88,34
"89",89,52
"90",90,40
"91",91,5
"92",92,26
"93",93,5
"94",94,9
"95",95,1
"96",96,4
"97",97,1
"98",98,50
"99",99,5
"100",100,1
"101",101,2
"102",102,2
"103",103,344
"104",104,5
"105",105,7
"106",106,64
"107",107,8
"108",108,3
"109",109,15
"110",110,2
"111",111,38
"112",112,202
"113",113,180
"114",114,100
"115",115,19
"116",116,148
"117",117,4
"118",118,1
"119",119,9
"120",120,11
"121",121,89
"122",122,4
"123",123,18
"124",124,1
"125",125,5
"126",126,6
"127",127,191
"128",128,1
"129",129,225
"130",130,2
"131",131,284
"132",132,202
"133",133,18
"134",134,18
"135",135,5
"136",136,436
"137",137,11
"138",138,1
"139",139,4
"140",140,112
"141",141,4
"142",142,354
"143",143,6
"144",144,11
"145",145,6
"146",146,62
"147",147,35
"148",148,3
"149",149,6
"150",150,1
"151",151,11
"152",152,4
"153",153,156
"154",154,71
"155",155,71
"156",156,5
"157",157,3
"158",158,4
"159",159,18
"160",160,23
"161",161,1
"162",162,100
"163",163,20
"164",164,8
"165",165,6
"166",166,1
"167",167,395
"168",168,34
"169",169,5
"170",170,1
"171",171,65
"172",172,50
"173",173,2
"174",174,8
"175",175,9
"176",176,62
"177",177,67
"178",178,40
"179",179,5
"180",180,194
"181",181,20
"182",182,212
"183",183,436
"184",184,4
"185",185,3
"186",186,50
"187",187,621
"188",188,303
"189",189,18
"190",190,23
"191",191,3
"192",192,1
"193",193,3
"194",194,390
"195",195,27
"196",196,6
"197",197,10
"198",198,5
"199",199,1
"200",200,3
"201",201,6
"202",202,6
"203",203,160
"204",204,9
"205",205,23
"206",206,12
"207",207,23
"208",208,62
"209",209,5
"210",210,3
"211",211,4
"212",212,5
"213",213,4
"214",214,12
"215",215,6
"216",216,5
"217",217,31
"218",218,2
"219",219,23
"220",220,15
"221",221,62
"222",222,1
"223",223,3
"224",224,2
"225",225,2
"226",226,3
"227",227,114
"228",228,2
"229",229,2
"230",230,4
"231",231,5
"232",232,1
"233",233,6
"234",234,18
"235",235,6
"236",236,6
"237",237,3
"238",238,58
"239",239,7
"240",240,2
"241",241,9
"242",242,3
"243",243,24
"244",244,390
"245",245,2
"246",246,2
"247",247,23
"248",248,2
"249",249,3
"250",250,22
"251",251,4
"252",252,119
"253",253,3
"254",254,5
"255",255,4
"256",256,2
"257",257,19
"258",258,26
"259",259,4
"260",260,5
"261",261,18
"262",262,5
"263",263,4
"264",264,5
"265",265,2
"266",266,13
"267",267,15
"268",268,23
"269",269,32
"270",270,19
"271",271,47
"272",272,9
"273",273,3
"274",274,2
"275",275,2
"276",276,5
"277",277,6
"278",278,2
"279",279,5
"280",280,5
"281",281,169
"282",282,167
"283",283,87
"284",284,6
"285",285,2
"286",286,193
"287",287,62
"288",288,3
"289",289,5
"290",290,2
"291",291,62
"292",292,3
"293",293,366
"294",294,31
"295",295,21
"296",296,6
"297",297,1
"298",298,379
"299",299,4
"300",300,264
"301",301,1
"302",302,33
"303",303,2
"304",304,2
"305",305,6
"306",306,2
"307",307,34
"308",308,2
"309",309,8
"310",310,26
"311",311,3
"312",312,11
"313",313,6
"314",314,3
"315",315,1
"316",316,1
"317",317,5
"318",318,6
"319",319,9
"320",320,1
"321",321,6
"322",322,5
"323",323,5
"324",324,4
"325",325,11
"326",326,4
"327",327,23
"328",328,40
"329",329,65
"330",330,3
"331",331,6
"332",332,10
"333",333,1
"334",334,3
"335",335,4
"336",336,2
"337",337,18
"338",338,1
"339",339,22
"340",340,6
"341",341,11
"342",342,12
"343",343,2
"344",344,397
"345",345,11
"346",346,1
"347",347,6
"348",348,348
"349",349,3
"350",350,379
"351",351,1
"352",352,3
"353",353,27
"354",354,2
"355",355,28
"356",356,9
"357",357,6
"358",358,226
"359",359,6
"360",360,96
"361",361,148
"362",362,70
"363",363,1
"364",364,4
"365",365,407
"366",366,9
"367",367,2
"368",368,3
"369",369,34
"370",370,2
"371",371,3
"372",372,379
"373",373,23
"374",374,1
"375",375,7
"376",376,42
"377",377,6
"378",378,6
"379",379,390
"380",380,9
"381",381,6
"382",382,9
"383",383,23
"384",384,3
"385",385,1
"386",386,2
"387",387,50
"388",388,100
"389",389,7
"390",390,6
"391",391,7
"392",392,3
"393",393,6
"394",394,6
"395",395,5
"396",396,11
"397",397,2
"398",398,484
"399",399,1
"400",400,5
"401",401,1
"402",402,16
"403",403,5
"404",404,1924
"405",405,3
"406",406,6
"407",407,3
"408",408,5
"409",409,3
"410",410,5
"411",411,62
"412",412,3
"413",413,1
"414",414,5
"415",415,9
"416",416,2
"417",417,3
"418",418,4
"419",419,4
"420",420,10
"421",421,2
"422",422,7
"423",423,1
"424",424,6
"425",425,1
"426",426,4
"427",427,6
"428",428,2
"429",429,173
"430",430,76
"431",431,5
"432",432,3
"433",433,34
"434",434,1
"435",435,3
"436",436,395
"437",437,15
"438",438,6
"439",439,6
"440",440,247
"441",441,7
"442",442,6
"443",443,3
"444",444,1
"445",445,42
"446",446,4
"447",447,18
"448",448,3
"449",449,7
"450",450,3
"451",451,514
"452",452,2
"453",453,2
"454",454,15
"455",455,11
"456",456,2
"457",457,15
"458",458,1
"459",459,531
"460",460,10
"461",461,6
"462",462,1
"463",463,4
"464",464,27
"465",465,3
"466",466,2
"467",467,14
"468",468,176
"469",469,3
"470",470,4
"471",471,101
"472",472,71
"473",473,3
"474",474,46
"475",475,2
"476",476,6
"477",477,9
"478",478,23
"479",479,6
"480",480,167
"481",481,1
"482",482,6
"483",483,3
"484",484,2
"485",485,8
"486",486,2
"487",487,100
"488",488,4
"489",489,2
"490",490,22
"491",491,11
"492",492,395
"493",493,11
"494",494,5
"495",495,6
"496",496,6
"497",497,2
"498",498,15
"499",499,6
"500",500,2
"501",501,2
"502",502,4
"503",503,3
"504",504,2
"505",505,2
"506",506,6
"507",507,2
"508",508,21
"509",509,1395
"510",510,2
"511",511,3
"512",512,67
"513",513,580
"514",514,379
"515",515,13
"516",516,7
"517",517,6
"518",518,1
"519",519,76
"520",520,2
"521",521,1359
"522",522,3
"523",523,9
"524",524,9
"525",525,66
"526",526,6
"527",527,34
"528",528,7
"529",529,4
"530",530,14
"531",531,5
"532",532,2
"533",533,209
"534",534,3
"535",535,77
"536",536,34
"537",537,167
"538",538,3
"539",539,249
"540",540,4
"541",541,288
"542",542,66
"543",543,148
"544",544,6
"545",545,12
"546",546,2
"547",547,3
"548",548,1
"549",549,5
"550",550,2
"551",551,3
"552",552,7
"553",553,66
"554",554,1143
"555",555,103
"556",556,9
"557",557,3
"558",558,62
"559",559,8
"560",560,3
"561",561,8
"562",562,5
"563",563,619
"564",564,49
"565",565,23
"566",566,1428
"567",567,12
"568",568,67
"569",569,2
"570",570,1
"571",571,390
"572",572,5
"573",573,1
"574",574,7
"575",575,23
"576",576,15
"577",577,3
"578",578,27
"579",579,22
"580",580,3
"581",581,5
"582",582,3
"583",583,46
"584",584,5
"585",585,3
"586",586,1
"587",587,6
"588",588,6
"589",589,289
"590",590,563
"591",591,1052
"592",592,9
"593",593,5
"594",594,77
"595",595,2
"596",596,18
"597",597,6
"598",598,7
"599",599,2
"600",600,23
"601",601,6
"602",602,175
"603",603,18
"604",604,3
"605",605,10
"606",606,279
"607",607,2
"608",608,2
"609",609,10
"610",610,148
"611",611,3
"612",612,2
"613",613,3
"614",614,3
"615",615,8
"616",616,7
"617",617,2
"618",618,6
"619",619,2
"620",620,6
"621",621,6
"622",622,2
"623",623,3
"624",624,65
"625",625,20
"626",626,6
"627",627,5
"628",628,3
"629",629,5
"630",630,3
"631",631,167
"632",632,49
"633",633,33
"634",634,15
"635",635,3
"636",636,3
"637",637,2
"638",638,12
"639",639,1197
"640",640,3
"641",641,621
"642",642,3
"643",643,3
"644",644,6
"645",645,3
"646",646,2
"647",647,2
"648",648,1
"649",649,901
"650",650,10
"651",651,38
"652",652,2
"653",653,208
"654",654,7
"655",655,5
"656",656,2
"657",657,2
"658",658,6
"659",659,3
"660",660,18
"661",661,1
"662",662,9
"663",663,570
"664",664,2
"665",665,4
"666",666,3
"667",667,4
"668",668,3
"669",669,3
"670",670,6
"671",671,5
"672",672,672
"673",673,6
"674",674,1
"675",675,676
"676",676,7
"677",677,139
"678",678,3
"679",679,3
"680",680,3
"681",681,1219
"682",682,3
"683",683,13
"684",684,6
"685",685,5
"686",686,2
"687",687,9
"688",688,9
"689",689,3
"690",690,6
"691",691,294
"692",692,32
"693",693,96
"694",694,394
"695",695,3
"696",696,7
"697",697,1082
"698",698,3
"699",699,2
"700",700,1995
"701",701,3
"702",702,594
"703",703,10
"704",704,36
"705",705,18
"706",706,3
"707",707,3
"708",708,83
"709",709,3
"710",710,3
"711",711,6
"712",712,9
"713",713,26
"714",714,3
"715",715,1
"716",716,1
"717",717,13
"718",718,1
"719",719,3
"720",720,1
"721",721,7
"722",722,3
"723",723,6
"724",724,1
"725",725,2
"726",726,6
"727",727,100
"728",728,11
"729",729,1141
"730",730,3
"731",731,6
"732",732,3
"733",733,4
"734",734,43
"735",735,3
"736",736,8
"737",737,33
"738",738,2
"739",739,1
"740",740,3
"741",741,3
"742",742,1
"743",743,124
"744",744,23
"745",745,6
"746",746,534
"747",747,9
"748",748,6
"749",749,21
"750",750,6
"751",751,6
"752",752,35
"753",753,6
"754",754,319
"755",755,11
"756",756,7
"757",757,42
"758",758,3
"759",759,15
"760",760,3
"761",761,6
"762",762,34
"763",763,3
"764",764,13
"765",765,2
"766",766,96
"767",767,3
"768",768,15
"769",769,8
"770",770,9
"771",771,2
"772",772,232
"773",773,2
"774",774,3
"775",775,3
"776",776,17
"777",777,3
"778",778,1
"779",779,3
"780",780,3
"781",781,3
"782",782,6
"783",783,5
"784",784,681
"785",785,294
"786",786,11
"787",787,7
"788",788,3
"789",789,9
"790",790,2
"791",791,3
"792",792,3
"793",793,2
"794",794,1
"795",795,2
"796",796,6
"797",797,3
"798",798,9
"799",799,4
"800",800,3
"801",801,21
"802",802,518
"803",803,4
"804",804,3
"805",805,12
"806",806,5
"807",807,47
"808",808,2
"809",809,13
"810",810,271
"811",811,321
"812",812,6
"813",813,3
"814",814,4
"815",815,15
"816",816,3
"817",817,113
"818",818,7
"819",819,6
"820",820,3
"821",821,1254
"822",822,7
"823",823,9
"824",824,43
"825",825,65
"826",826,33
"827",827,1
"828",828,3
"829",829,4
"830",830,6
"831",831,225
"832",832,3
"833",833,10
"834",834,7
"835",835,6
"836",836,3
"837",837,2
"838",838,3
"839",839,119
"840",840,3
"841",841,3
"842",842,3
"843",843,3
"844",844,1
"845",845,1
"846",846,10
"847",847,6
"848",848,13
"849",849,2
"850",850,571
"851",851,2
"852",852,6
"853",853,148
"854",854,2
"855",855,2
"856",856,856
"857",857,7
"858",858,13
"859",859,34
"860",860,8
"861",861,3
"862",862,3
"863",863,167
"864",864,22
"865",865,3
"866",866,3
"867",867,1
"868",868,7
"869",869,3
"870",870,3
"871",871,65
"872",872,2
"873",873,2
"874",874,3
"875",875,6
"876",876,3
"877",877,6
"878",878,6
"879",879,1547
"880",880,1
"881",881,1
"882",882,2
"883",883,6
"884",884,500
"885",885,1
"886",886,4
"887",887,1
"888",888,3
"889",889,6
"890",890,9
"891",891,57
"892",892,5
"893",893,1
"894",894,7
"895",895,2
"896",896,6
"897",897,313
"898",898,3
"899",899,6
"900",900,2
"901",901,3
"902",902,3
"903",903,3
"904",904,7
"905",905,6
"906",906,3
"907",907,6
"908",908,2
"909",909,25
"910",910,3
"911",911,2
"912",912,902
"913",913,6
"914",914,3
"915",915,12
"916",916,1988
"917",917,3
"918",918,3
"919",919,11
"920",920,3
"921",921,6
"922",922,1
"923",923,47
"924",924,2
"925",925,15
"926",926,5
"927",927,1
"928",928,3
"929",929,15
"930",930,6
"931",931,3
"932",932,6
"933",933,9
"934",934,14
"935",935,167
"936",936,5
"937",937,3
"938",938,2
"939",939,170
"940",940,6
"941",941,8
"942",942,23
"943",943,33
"944",944,2
"945",945,32
"946",946,13
"947",947,1265
"948",948,1332
"949",949,1
"950",950,6
"951",951,3
"952",952,65
"953",953,20
"954",954,2
"955",955,6
"956",956,1
"957",957,15
"958",958,3
"959",959,20
"960",960,6
"961",961,5
"962",962,4
"963",963,159
"964",964,6
"965",965,3
"966",966,9
"967",967,13
"968",968,22
"969",969,22
"970",970,2
"971",971,577
"972",972,7
"973",973,10
"974",974,7
"975",975,3
"976",976,3
"977",977,7
"978",978,167
"979",979,6
"980",980,8
"981",981,11
"982",982,5
"983",983,6
"984",984,77
"985",985,9
"986",986,2
"987",987,3
"988",988,2
"989",989,6
"990",990,70
"991",991,119
"992",992,3
"993",993,1344
"994",994,23
"995",995,4
"996",996,8
"997",997,65
"998",998,5
"999",999,1
"1000",1000,10
"1001",1001,2
"1002",1002,3
"1003",1003,1
"1004",1004,1957
"1005",1005,1
"1006",1006,6
"1007",1007,3
"1008",1008,13
"1009",1009,7
"1010",1010,6
"1011",1011,1
"1012",1012,6
"1013",1013,709
"1014",1014,15
"1015",1015,1
"1016",1016,3
"1017",1017,23
"1018",1018,6
"1019",1019,127
"1020",1020,2
"1021",1021,21
"1022",1022,2
"1023",1023,4
"1024",1024,1
"1025",1025,4
"1026",1026,6
"1027",1027,2
"1028",1028,6
"1029",1029,1
"1030",1030,2
"1031",1031,2
"1032",1032,4
"1033",1033,2
"1034",1034,6
"1035",1035,3
"1036",1036,630
"1037",1037,6
"1038",1038,3
"1039",1039,3
"1040",1040,6
"1041",1041,6
"1042",1042,18
"1043",1043,15
"1044",1044,1
"1045",1045,11
"1046",1046,3
"1047",1047,148
"1048",1048,1
"1049",1049,7
"1050",1050,2
"1051",1051,127
"1052",1052,6
"1053",1053,2
"1054",1054,2
"1055",1055,167
"1056",1056,3
"1057",1057,7
"1058",1058,3
"1059",1059,2
"1060",1060,830
"1061",1061,4
"1062",1062,3
"1063",1063,1
"1064",1064,2
"1065",1065,3
"1066",1066,1
"1067",1067,27
"1068",1068,1
"1069",1069,3
"1070",1070,13
"1071",1071,2
"1072",1072,3
"1073",1073,6
"1074",1074,6
"1075",1075,3
"1076",1076,3
"1077",1077,38
"1078",1078,23
"1079",1079,3
"1080",1080,3
"1081",1081,3
"1082",1082,3
"1083",1083,4
"1084",1084,6
"1085",1085,2
"1086",1086,417
"1087",1087,23
"1088",1088,12
"1089",1089,1304
"1090",1090,1
"1091",1091,6
"1092",1092,9
"1093",1093,7
"1094",1094,1
"1095",1095,6
"1096",1096,6
"1097",1097,5
"1098",1098,2
"1099",1099,167
"1100",1100,10
"1101",1101,10
"1102",1102,16
"1103",1103,6
"1104",1104,3
"1105",1105,358
"1106",1106,1
"1107",1107,1
"1108",1108,2
"1109",1109,1
"1110",1110,481
"1111",1111,2
"1112",1112,33
"1113",1113,10
"1114",1114,3
"1115",1115,5
"1116",1116,10
"1117",1117,620
"1118",1118,24
"1119",1119,167
"1120",1120,4
"1121",1121,4
"1122",1122,3
"1123",1123,1084
"1124",1124,570
"1125",1125,350
"1126",1126,315
"1127",1127,7
"1128",1128,1128
"1129",1129,10
"1130",1130,2
"1131",1131,7
"1132",1132,6
"1133",1133,2
"1134",1134,2
"1135",1135,349
"1136",1136,76
"1137",1137,626
"1138",1138,10
"1139",1139,4
"1140",1140,62
"1141",1141,2
"1142",1142,7
"1143",1143,1703
"1144",1144,6
"1145",1145,3
"1146",1146,6
"1147",1147,1
"1148",1148,3
"1149",1149,100
"1150",1150,15
"1151",1151,6
"1152",1152,6
"1153",1153,6
"1154",1154,3
"1155",1155,10
"1156",1156,7
"1157",1157,6
"1158",1158,5
"1159",1159,10
"1160",1160,6
"1161",1161,417
"1162",1162,1
"1163",1163,33
"1164",1164,62
"1165",1165,1
"1166",1166,1
"1167",1167,7
"1168",1168,8
"1169",1169,13
"1170",1170,7
"1171",1171,26
"1172",1172,9
"1173",1173,165
"1174",1174,555
"1175",1175,3
"1176",1176,366
"1177",1177,3
"1178",1178,1
"1179",1179,9
"1180",1180,5
"1181",1181,13
"1182",1182,2
"1183",1183,10
"1184",1184,93
"1185",1185,42
"1186",1186,3
"1187",1187,1988
"1188",1188,18
"1189",1189,4
"1190",1190,217
"1191",1191,15
"1192",1192,6
"1193",1193,6
"1194",1194,1
"1195",1195,6
"1196",1196,6
"1197",1197,3
"1198",1198,104
"1199",1199,627
"1200",1200,12
"1201",1201,418
"1202",1202,42
"1203",1203,9
"1204",1204,31
"1205",1205,15
"1206",1206,2
"1207",1207,33
"1208",1208,6
"1209",1209,6
"1210",1210,20
"1211",1211,3
"1212",1212,3
"1213",1213,3
"1214",1214,6
"1215",1215,1
"1216",1216,10
"1217",1217,1
"1218",1218,13
"1219",1219,9
"1220",1220,2
